,topic_1,topic_2,label
0,0.0003698230932230507,0.9996301769067769,intron
1,0.000364847200030068,0.9996351527999701,intron
2,0.0003741874703139933,0.999625812529686,intron
3,0.00038557934412069563,0.9996144206558792,intron
4,0.00040644486959409145,0.9995935551304059,intron
5,0.00036415508811464884,0.9996358449118853,intron
6,0.00040694830056068465,0.9995930516994393,intron
7,0.00040515720418330314,0.9995948427958168,intron
8,0.00039976925263119647,0.9996002307473687,intron
9,0.00037638397388610283,0.9996236160261139,intron
10,0.0004180571774951733,0.9995819428225049,intron
11,0.00042797615594159454,0.9995720238440583,intron
12,0.00039893489077242147,0.9996010651092275,intron
13,0.00036789528937192993,0.999632104710628,intron
14,0.0004985185097243382,0.9995014814902757,intron
15,0.00045139312483375273,0.9995486068751663,intron
16,0.0004291904803664905,0.9995708095196334,intron
17,0.00039520943235102433,0.999604790567649,intron
18,0.00036478286290654886,0.9996352171370935,intron
19,0.00040855385409666517,0.9995914461459035,intron
20,0.971347678509963,0.02865232149003698,exon
21,0.8530035871182294,0.14699641288177062,exon
22,0.9993950784872553,0.0006049215127446672,exon
23,0.9940944725750175,0.005905527424982655,exon
24,0.9584856560273225,0.041514343972677614,exon
25,0.7610682266287812,0.2389317733712188,exon
26,0.9995176982199119,0.0004823017800880806,exon
27,0.9232125583833011,0.07678744161669887,exon
28,0.91105840183317,0.08894159816682992,exon
29,0.9952926942703534,0.004707305729646515,exon
30,0.9994719379404025,0.0005280620595975042,exon
31,0.7453355623123207,0.2546644376876793,exon
32,0.7972870147852741,0.20271298521472605,exon
33,0.9585405521614423,0.041459447838557685,exon
34,0.807863237531142,0.19213676246885802,exon
35,0.9728489345242546,0.027151065475745504,exon
36,0.7156751792923854,0.28432482070761467,exon
37,0.7692688645046585,0.23073113549534163,exon
38,0.910082466080903,0.08991753391909689,exon
39,0.9994547749294778,0.000545225070522144,exon
